result_family,dataset,model,hop,method,PE,beta,num_clients,num_iter,t,alpha,n_reps,mean_acc_pct,std_acc_pct,source_files,source_summary_path,accuracy
primary_10_client,Cora,GCN,1,FedProp-Diff,no,1,10,50,0.1,0.5,15,76.34,1.0874610009427603,2,experiments/results/current/summary_current_live_preferred.csv,76.34 +/- 1.09 (n=15)
primary_10_client,Cora,GCN,1,FedProp-Diff,no,10,10,50,0.1,0.5,8,71.2875,1.4014660691066148,1,experiments/results/current/summary_current_live_preferred.csv,71.29 +/- 1.40 (n=8)
primary_10_client,Cora,GCN,1,FedProp-Diff,no,10000,10,50,0.1,0.5,25,69.896,1.5447437759490494,3,experiments/results/current/summary_current_live_preferred.csv,69.90 +/- 1.54 (n=25)
primary_10_client,Cora,GCN,1,FedProp-Diff,yes,1,10,80,1.0,0.5,13,81.37692307692308,0.7451552927117968,2,experiments/results/current/summary_current_live_preferred.csv,81.38 +/- 0.75 (n=13)
primary_10_client,Cora,GCN,1,FedProp-Diff,yes,10000,10,80,1.0,0.5,13,75.04615384615386,0.6615831827459858,2,experiments/results/current/summary_current_live_preferred.csv,75.05 +/- 0.66 (n=13)
primary_10_client,Cora,GCN,1,Full-graph,no,1,10,50,0.1,0.5,20,81.05,0.6549407365716747,3,experiments/results/current/summary_current_live_preferred.csv,81.05 +/- 0.65 (n=20)
primary_10_client,Cora,GCN,1,Full-graph,no,10,10,50,0.1,0.5,10,80.19000000000001,0.6657493689236361,1,experiments/results/current/summary_current_live_preferred.csv,80.19 +/- 0.67 (n=10)
primary_10_client,Cora,GCN,1,Full-graph,no,10000,10,50,0.1,0.5,20,79.985,0.6166761497611296,3,experiments/results/current/summary_current_live_preferred.csv,79.98 +/- 0.62 (n=20)
primary_10_client,Cora,GCN,1,Zero-hop,no,1,10,50,0.1,0.5,25,65.968,2.6485404785780924,3,experiments/results/current/summary_current_live_preferred.csv,65.97 +/- 2.65 (n=25)
primary_10_client,Cora,GCN,1,Zero-hop,no,10,10,50,0.1,0.5,29,61.72758620689656,2.1415776147043943,3,experiments/results/current/summary_current_live_preferred.csv,61.73 +/- 2.14 (n=29)
primary_10_client,Cora,GCN,1,Zero-hop,no,10000,10,50,0.1,0.5,41,59.79512195121951,1.7038120817027045,5,experiments/results/current/summary_current_live_preferred.csv,59.80 +/- 1.70 (n=41)
primary_10_client,Cora,GCN,2,FedProp-Adj,no,1,10,80,1.0,0.5,13,79.57692307692308,0.7769103832423304,2,experiments/results/current/summary_current_live_preferred.csv,79.58 +/- 0.78 (n=13)
primary_10_client,Cora,GCN,2,FedProp-Adj,no,10000,10,80,1.0,0.5,13,74.76923076923076,0.603302874992619,2,experiments/results/current/summary_current_live_preferred.csv,74.77 +/- 0.60 (n=13)
primary_10_client,Cora,GCN,2,FedProp-Adj,yes,1,10,80,1.0,0.5,13,81.43846153846154,0.6035153429953252,2,experiments/results/current/summary_current_live_preferred.csv,81.44 +/- 0.60 (n=13)
primary_10_client,Cora,GCN,2,FedProp-Adj,yes,10000,10,80,1.0,0.5,13,76.43076923076923,0.6511331346002596,2,experiments/results/current/summary_current_live_preferred.csv,76.43 +/- 0.65 (n=13)
primary_10_client,Cora,GCN,2,FedProp-Diff,no,1,10,80,1.0,0.5,13,79.98461538461538,0.6108002317263159,2,experiments/results/current/summary_current_live_preferred.csv,79.98 +/- 0.61 (n=13)
primary_10_client,Cora,GCN,2,FedProp-Diff,no,10000,10,80,1.0,0.5,13,75.08461538461539,0.8122460155295259,2,experiments/results/current/summary_current_live_preferred.csv,75.08 +/- 0.81 (n=13)
primary_10_client,Cora,GCN,2,FedProp-Diff,yes,1,10,80,1.0,0.5,13,82.28461538461538,0.6121630417981697,2,experiments/results/current/summary_current_live_preferred.csv,82.28 +/- 0.61 (n=13)
primary_10_client,Cora,GCN,2,FedProp-Diff,yes,10000,10,80,1.0,0.5,13,77.33846153846154,0.8411682962190763,2,experiments/results/current/summary_current_live_preferred.csv,77.34 +/- 0.84 (n=13)
primary_10_client,Cora,GCN,2,Full-graph,no,1,10,80,1.0,0.5,10,80.56,0.4351245032554862,1,experiments/results/current/summary_current_live_preferred.csv,80.56 +/- 0.44 (n=10)
primary_10_client,Cora,GCN,2,Full-graph,no,10000,10,80,1.0,0.5,10,80.96,0.6328067986711573,1,experiments/results/current/summary_current_live_preferred.csv,80.96 +/- 0.63 (n=10)
primary_10_client,Cora,GCN,2,Zero-hop,no,1,10,80,1.0,0.5,10,68.21000000000001,1.2827487846201366,1,experiments/results/current/summary_current_live_preferred.csv,68.21 +/- 1.28 (n=10)
primary_10_client,Cora,GCN,2,Zero-hop,no,10000,10,80,1.0,0.5,10,62.02,1.698234377228304,1,experiments/results/current/summary_current_live_preferred.csv,62.02 +/- 1.70 (n=10)
primary_10_client,Minesweeper,GCN,1,FedProp-Adj,no,1,10,50,0.1,0.5,3,80.0,0.0,1,experiments/results/current/summary_current_live_preferred.csv,80.00 +/- 0.00 (n=3)
primary_10_client,Minesweeper,GCN,1,FedProp-Adj,no,10,10,50,0.1,0.5,13,79.99692307692308,0.0110940039245064,2,experiments/results/current/summary_current_live_preferred.csv,80.00 +/- 0.01 (n=13)
primary_10_client,Minesweeper,GCN,1,FedProp-Adj,no,10000,10,50,0.1,0.5,13,80.0,0.0,2,experiments/results/current/summary_current_live_preferred.csv,80.00 +/- 0.00 (n=13)
primary_10_client,Minesweeper,GCN,1,FedProp-Diff,no,1,10,50,0.1,0.5,3,80.0,0.0,1,experiments/results/current/summary_current_live_preferred.csv,80.00 +/- 0.00 (n=3)
